image,caption
VizWiz_test_00007031.jpg,A container of macaroni and cheese is on top of a tablecloth.
VizWiz_test_00007032.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007033.jpg,Quality issues are too severe to recognize visual content.
VizWiz_test_00007034.jpg,A package of food is on top of the table.
VizWiz_test_00007035.jpg,A computer screen with a picture of a man on it and a man in a white shirt.
VizWiz_test_00007036.jpg,A black and white cat is laying on a white tile floor.
VizWiz_test_00007037.jpg,A package of food is on top of the table.
VizWiz_test_00007038.jpg,A bottle of lotion is on top of a table.
VizWiz_test_00007039.jpg,A white piece of paper with a barcode on it.
VizWiz_test_00007040.jpg,Quality issues are too severe to recognize visual content.
VizWiz_test_00007041.jpg,A blue and white electronic device with a blue screen and a blue button on it.
VizWiz_test_00007042.jpg,A package of food is lying on top of a table.
VizWiz_test_00007043.jpg,A red and white can of Coca Cola sitting on a white surface.
VizWiz_test_00007044.jpg,A green bottle of soda is sitting on a table.
VizWiz_test_00007045.jpg,A blue plastic container with a blue lid and blue lettering.
VizWiz_test_00007046.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is, and it's impossible to determine what the object is, but it looks like it could be some sort of electronic device or something."
VizWiz_test_00007047.jpg,A bottle of Samuel Adams beer is on a table.
VizWiz_test_00007048.jpg,A table with a tablecloth and a box of tissues on it.
VizWiz_test_00007049.jpg,A can of food is on top of the table.
VizWiz_test_00007050.jpg,A blue and white striped button up shirt with a blue and yellow striped button down shirt.
VizWiz_test_00007051.jpg,A bottle of beer is on top of a table.
VizWiz_test_00007052.jpg,A black cell phone is on top of a bed.
VizWiz_test_00007053.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007054.jpg,A screenshot of a computer screen with a captcha on it.
VizWiz_test_00007055.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is."
VizWiz_test_00007056.jpg,"Quality issues are too severe to recognize visual content, it's just a picture of a house with trees and a house in the background."
VizWiz_test_00007057.jpg,A person is holding a package of meat in their hand.
VizWiz_test_00007058.jpg,A silver and black coffee mug with a black handle and a black lid on a countertop with a white coffee maker on it.
VizWiz_test_00007059.jpg,A screenshot of a phone screen with a captcha on it.
VizWiz_test_00007060.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read what it says."
VizWiz_test_00007061.jpg,A can of food is on top of a white counter.
VizWiz_test_00007062.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to tell what it is, and I can't tell what the object is."
VizWiz_test_00007063.jpg,Quality issues are too severe to recognize visual content.
VizWiz_test_00007064.jpg,A magazine with a picture of a man on the cover.
VizWiz_test_00007065.jpg,"Quality issues are too severe to recognize visual content, it's too blurry to read what it is."
VizWiz_test_00007066.jpg,A person is holding a white card with a barcode on it.
